frame_id,edge_latency_ms,network_ms,e2e_ms,count,payload_bytes,raw_bytes
1,362.83432494383305,45.11264804750681,45.414,1,326,49760
2,278.738045017235,2.9888079734519124,2.994,1,326,55450
3,277.9862249735743,2.7449890039861202,2.854,1,328,56113
4,269.60508606862277,2.3606870090588927,2.599,1,330,56238
5,374.50618494767696,2.69484193995595,2.927,1,330,56241
6,319.54254989977926,2.8456690488383174,3.124,1,330,56204
7,286.17921099066734,2.344029024243355,2.539,1,327,56208
8,299.29492389783263,2.5661649415269494,2.732,1,330,56220
9,260.5635089566931,2.5073459837585688,2.679,1,327,66337
10,304.4420119840652,2.387142973020673,2.671,1,326,66416
11,280.87054402567446,2.710622036829591,3.058,1,327,66443
12,288.4424260118976,2.387462998740375,2.624,1,327,66427
13,308.4171339869499,2.462492906488478,2.814,1,329,67340
14,309.82724798377603,2.421119948849082,2.601,1,330,67430
15,319.3733349908143,2.305877977050841,2.582,1,327,67404
16,285.78547190409154,2.4202819913625717,2.694,1,328,67441
17,291.6952599771321,2.3946439614519477,2.591,0,175,64984
18,283.0345610855147,2.3926199646666646,2.592,0,175,65307
19,286.1478009726852,2.488575060851872,2.681,0,174,65464
20,265.92332299333066,2.536728046834469,2.709,0,176,65418
21,266.01136091630906,2.455746056511998,2.578,0,175,65422
22,277.140551013872,2.3284130729734898,2.535,0,174,65390
23,266.7814210290089,2.517910092137754,2.765,0,175,65450
24,254.15468809660524,2.4791520554572344,2.782,0,176,65441
25,250.00986701343209,2.4712299928069115,2.673,1,317,63279
26,253.767785965465,2.4752659955993295,2.629,1,313,63401
27,250.68441999610513,2.3587100440636277,2.609,1,313,63491
28,248.52221901528537,2.4815150536596775,2.647,1,313,63476
29,253.09332797769457,2.4471930228173733,2.659,1,313,63435
30,268.1675310013816,2.5448210071772337,2.748,1,311,63428
31,270.9062760695815,2.4135110434144735,2.704,1,312,63435
32,263.1215810542926,2.439240925014019,2.73,1,311,63428
33,255.13026397675276,2.471490064635873,2.73,0,175,62157
34,260.47186902724206,2.4243579246103764,2.617,0,176,62206
35,260.5243819998577,2.2835059789940715,2.592,0,174,62261
36,279.19471403583884,2.219046000391245,2.489,0,176,62258
37,268.5885230312124,2.385968924500048,2.635,0,175,62022
38,282.9615429509431,2.546100993640721,2.702,0,175,62168
39,256.8261220585555,2.3996700765565038,2.582,0,175,62275
40,268.7098910100758,2.3419299395754933,2.661,0,174,62193
41,276.48355800192803,2.4193290155380964,2.577,0,173,37343
42,263.59897991642356,2.39866494666785,2.526,0,176,37263
43,249.61137305945158,2.3527758894488215,2.466,0,176,37289
44,253.95216804463416,2.36028793733567,2.456,0,176,37279
45,252.1635730518028,2.3216690169647336,2.489,0,175,37274
46,252.0320100011304,2.3941099643707275,2.511,0,175,37278
47,253.82205902133137,2.3929979652166367,2.517,0,176,37281
48,248.11183288693428,2.3262680042535067,2.408,0,176,37272
49,253.3054139930755,2.374080941081047,2.638,0,175,77401
50,249.2855800082907,2.262211055494845,2.519,0,174,77529
